cgpa,projects,internships,certifications,python,ml,sql,communication,employability
7.0,1,2,0,0,1,1,0,1
9.3,0,0,4,1,0,1,1,1
8.43,3,2,3,1,1,0,0,1
7.89,1,3,3,0,0,1,1,1
6.12,0,2,4,1,0,0,0,1
6.12,5,3,3,1,0,0,0,1
5.73,2,1,3,0,0,1,1,0
8.96,4,1,3,0,1,1,1,1
7.9,5,1,5,1,0,0,1,1
8.33,0,2,1,1,1,1,1,1
5.58,5,1,4,0,1,1,1,1
9.38,2,0,3,0,0,0,0,1
8.83,0,3,5,0,1,1,0,1
6.35,5,3,4,1,1,0,0,1
6.23,4,0,2,0,0,0,1,0
6.23,4,2,2,0,1,1,1,1
6.72,1,2,3,1,1,0,1,1
7.6,5,3,5,1,1,0,1,1
7.23,3,1,5,1,1,1,1,1
6.66,5,2,4,1,0,1,1,1
7.95,0,2,4,1,1,1,0,1
6.06,0,0,5,0,1,0,0,0
6.67,5,0,4,0,1,0,0,1
6.97,2,1,5,1,1,1,0,1
7.32,4,2,1,1,0,0,0,1
8.64,0,2,5,1,1,1,1,1
6.3,4,0,2,1,0,1,1,1
7.56,0,2,4,1,1,0,1,1
7.87,1,3,5,0,0,1,1,1
5.69,3,0,5,0,0,0,1,0
7.93,0,1,4,0,0,0,1,1
6.18,4,0,1,0,0,1,0,1
5.76,1,2,1,1,0,0,1,0
9.3,0,1,4,0,1,1,1,1
9.36,2,0,0,1,1,0,1,1
8.73,3,3,4,1,1,0,1,1
6.72,0,3,4,1,0,0,0,1
5.89,1,0,1,0,1,1,0,0
8.24,2,3,1,1,0,0,1,1
7.26,5,3,4,0,0,1,0,1
5.99,1,3,4,0,1,0,0,1
7.48,1,1,4,1,1,0,1,1
5.64,2,3,1,1,0,1,1,0
9.14,1,3,4,1,0,1,1,1
6.54,2,3,4,0,1,1,1,1
8.15,0,1,3,1,1,1,1,1
6.75,2,0,0,0,1,1,0,1
7.58,2,2,2,1,1,0,1,1
7.69,3,3,0,1,0,0,1,1
6.24,2,0,3,0,1,1,1,1
9.38,2,3,2,0,1,0,0,1
8.6,5,1,4,0,1,0,1,1
9.26,0,0,3,0,0,0,1,1
9.08,3,1,4,0,0,1,1,1
7.89,5,3,1,0,0,0,0,1
9.19,4,3,5,1,0,0,1,1
5.85,0,1,3,1,1,0,1,0
6.28,0,2,1,0,0,1,1,0
5.68,4,1,3,1,1,0,0,1
6.8,2,3,3,0,1,0,1,0
7.05,5,1,1,1,1,1,1,1
6.59,1,2,2,1,1,1,1,1
8.81,3,1,0,0,0,0,0,1
6.93,1,2,4,0,0,0,1,1
6.62,4,2,3,0,0,1,1,1
7.67,0,1,4,1,1,1,1,1
6.06,0,1,5,0,1,1,0,1
8.71,3,0,1,1,1,1,0,1
5.8,0,3,4,0,1,1,1,1
9.45,0,2,1,1,1,1,0,1
8.59,3,0,4,1,0,1,0,1
6.29,5,1,0,0,1,0,0,1
5.52,5,3,0,1,0,1,1,1
8.76,3,0,0,1,1,1,1,1
8.33,4,2,0,0,1,0,0,1
8.42,0,0,0,1,0,1,0,0
8.59,0,2,0,0,0,1,0,1
5.8,4,1,1,0,1,0,1,1
6.93,5,3,3,0,1,1,1,1
5.96,2,3,4,0,1,0,0,1
8.95,2,3,0,1,1,0,0,1
7.99,2,1,1,1,0,0,0,1
6.82,5,2,1,1,1,0,0,1
5.75,5,1,1,0,0,1,1,1
6.74,4,3,3,1,1,0,0,1
6.8,0,1,4,1,0,0,1,1
8.42,4,1,3,0,0,1,0,1
8.05,4,1,2,0,1,0,0,1
9.05,5,2,1,1,0,0,0,1
7.39,2,0,2,0,1,0,0,1
5.98,1,0,5,0,0,0,0,0
8.35,0,1,0,0,1,1,1,1
8.54,5,0,0,0,0,0,0,1
7.75,2,0,3,1,1,1,0,1
8.58,1,1,4,0,1,1,0,1
7.48,1,1,2,0,0,0,1,0
7.59,5,3,4,0,0,0,1,1
7.21,3,0,3,0,0,0,1,1
5.6,0,2,0,0,0,0,1,0
5.93,1,1,4,0,1,1,0,0
5.63,5,3,4,0,0,1,0,1
8.05,5,2,0,0,1,1,0,1
6.76,2,0,2,1,0,0,1,1
7.53,3,3,0,0,1,1,0,1
9.13,0,1,4,1,1,0,0,1
6.5,4,2,2,0,1,0,1,1
7.14,2,1,2,0,1,0,1,1
8.52,1,0,0,0,0,0,1,1
6.42,1,2,4,0,0,0,0,1
5.81,2,0,3,1,1,1,0,1
6.66,5,0,4,0,0,1,1,1
6.14,1,3,1,0,0,0,0,0
9.22,3,1,5,1,1,1,1,1
8.73,0,2,3,1,0,0,1,1
8.03,3,0,2,0,0,0,0,1
8.99,1,0,3,1,0,0,1,1
8.71,4,2,2,1,1,1,1,1
6.25,0,0,2,1,0,0,1,0
9.07,0,3,3,0,1,0,0,1
7.66,2,3,2,0,0,1,1,1
8.73,2,3,2,0,0,1,1,1
9.08,4,3,1,1,0,1,1,1
6.77,5,0,4,0,1,0,1,1
5.94,0,2,4,1,1,0,1,1
6.41,4,2,5,0,0,1,1,1
7.21,2,2,5,0,1,0,1,1
8.77,2,2,1,1,0,1,0,1
8.94,0,1,5,0,1,1,0,1
5.53,3,2,3,1,1,0,1,1
7.54,1,1,0,1,0,0,0,0
7.17,2,1,0,0,0,1,0,1
6.39,5,3,0,1,0,1,1,1
5.98,5,1,1,0,0,1,0,1
6.85,2,0,1,0,1,1,1,0
9.27,3,1,2,1,1,0,1,1
6.79,3,3,0,0,1,1,1,1
7.58,4,1,3,1,0,1,1,1
8.31,5,0,5,0,0,1,1,0
6.95,4,0,3,0,1,0,0,1
9.39,5,0,5,0,0,0,1,1
9.35,1,3,0,0,1,1,0,1
6.51,1,3,0,0,1,0,1,1
7.49,0,2,0,1,1,0,1,0
6.7,4,3,1,1,1,0,1,1
6.64,2,0,5,1,1,1,0,1
5.65,4,0,1,1,0,1,1,1
7.94,2,3,1,1,0,0,1,1
7.51,3,1,4,1,0,1,1,1
5.71,4,3,3,0,1,1,1,1
6.61,3,3,3,0,1,0,0,1
9.13,1,0,2,1,1,0,1,1
6.46,1,2,1,1,1,1,0,1
6.08,0,0,5,0,0,0,1,0
7.46,4,2,4,0,0,1,0,1
9.44,3,0,4,0,1,1,0,1
6.47,2,3,3,1,1,0,1,1
8.19,1,0,1,1,1,1,1,1
8.55,1,0,2,1,0,1,0,0
6.45,2,0,1,0,0,0,1,1
8.41,3,3,0,0,0,0,1,1
6.97,3,3,1,1,1,0,1,1
8.03,4,3,0,1,1,1,0,1
8.03,4,3,0,0,0,0,1,1
7.64,5,2,2,0,1,0,1,1
5.86,5,2,5,0,0,0,1,1
8.84,0,1,3,0,1,0,0,1
6.78,1,3,1,1,0,1,1,1
6.25,4,2,0,0,1,1,0,1
5.66,3,0,1,0,0,0,1,1
7.86,2,3,5,0,0,1,0,1
8.21,3,1,3,1,0,0,1,1
5.57,1,1,5,1,0,0,1,1
7.55,5,1,3,0,0,1,0,1
6.41,3,0,4,0,0,1,0,1
8.08,0,2,3,0,1,0,0,1
6.2,1,0,2,1,1,0,1,0
8.26,5,3,5,1,1,1,1,1
7.05,2,1,0,1,0,0,1,0
9.25,5,0,4,0,0,1,1,1
6.05,0,0,2,1,1,0,0,0
6.86,1,2,1,0,0,0,1,1
5.95,2,2,5,0,0,1,1,1
9.2,0,1,0,0,0,1,1,1
9.01,5,0,3,1,0,1,1,1
6.53,0,0,0,0,0,1,1,1
8.14,1,2,1,1,1,1,1,1
8.77,4,0,4,1,1,1,1,1
7.72,0,0,4,0,1,1,0,1
7.62,0,0,5,0,1,0,1,1
6.47,5,2,4,1,1,0,1,1
5.87,5,1,5,0,0,0,1,1
9.09,2,3,5,1,0,1,1,1
9.1,5,1,5,0,0,1,0,1
8.03,3,3,3,1,0,1,0,1
6.86,1,0,2,1,1,0,0,1
6.9,1,1,5,1,1,1,0,0
8.4,4,3,5,1,1,1,0,1
9.09,4,2,2,0,0,0,0,1
9.05,1,2,0,0,1,1,1,1
8.62,4,1,5,1,0,0,0,1
8.07,2,1,3,1,1,0,0,1
5.84,5,0,4,0,1,1,1,1
6.15,1,1,4,0,0,1,0,1
9.09,4,0,1,0,0,1,1,1
7.93,1,0,1,0,1,0,1,0
5.54,3,2,4,0,1,0,0,1
5.91,0,2,4,0,0,0,1,0
8.15,5,3,3,1,1,1,0,1
5.52,1,2,2,0,1,1,0,0
6.14,0,2,1,0,0,1,1,1
7.69,4,1,2,1,1,1,1,1
8.27,0,2,3,0,0,0,0,1
8.11,5,3,4,0,1,0,1,1
